MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B20	Other	PT	2024	100	28.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B15	Other renewable	PT	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B16	Solar	PT	2024	100	1810.80	03-03-2025 00:00:00	
Net Generating Capacity	6	B17	Waste	PT	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	PT	2024	100	25.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	PT	2024	100	5332.80	03-03-2025 00:00:00	
Net Generating Capacity	6	B01	Biomass	RO	2024	100	118.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	RO	2024	100	1733.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	RO	2024	100	2238.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	RO	2024	100	176.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	RO	2024	100	2780.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	RO	2024	100	3359.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B14	Nuclear	RO	2024	100	1300.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B16	Solar	RO	2024	100	1293.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	RO	2024	100	2958.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B01	Biomass	RS	2024	100	2.38	03-03-2025 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	RS	2024	100	6010.50	03-03-2025 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	RS	2024	100	606.71	03-03-2025 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	RS	2024	100	642.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	RS	2024	100	2053.11	03-03-2025 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	RS	2024	100	484.18	03-03-2025 00:00:00	
Net Generating Capacity	6	B20	Other	RS	2024	100	34.64	03-03-2025 00:00:00	
Net Generating Capacity	6	B16	Solar	RS	2024	100	29.13	03-03-2025 00:00:00	
Net Generating Capacity	6	B17	Waste	RS	2024	100	32.40	03-03-2025 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	RS	2024	100	645.62	03-03-2025 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	SE	2024	100	16300.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B14	Nuclear	SE	2024	100	6900.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B20	Other	SE	2024	100	6600.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B16	Solar	SE	2024	100	3200.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	SE	2024	100	16700.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B01	Biomass	SI	2024	100	43.39	03-03-2025 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	SI	2024	100	1190.50	03-03-2025 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	SI	2024	100	756.04	03-03-2025 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	SI	2024	100	58.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	SI	2024	100	180.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	SI	2024	100	1125.24	03-03-2025 00:00:00	
Net Generating Capacity	6	B14	Nuclear	SI	2024	100	696.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B16	Solar	SI	2024	100	1109.53	03-03-2025 00:00:00	
Net Generating Capacity	6	B17	Waste	SI	2024	100	6.31	03-03-2025 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	SI	2024	100	3.25	03-03-2025 00:00:00	
